ccodealp,ccode,cname,ccodecow,wdi_dgovhexp,wdi_lifexp,wdi_pop,continent,vdem_corr,wdi_popurb,wdi_poprul,wvs_pmi12,wvs_pmi4,wvs_auton,wdi_litrad,wdi_chexppgdp,undp_hdi,wdi_hwf,wdi_hwfr,wdi_hwfu,who_let,ht_colonial,mad_gdppc1600,mad_gdppc1700,mad_gdppc1900,bti_ds,sgi_qd,vdem_libdem,wdi_gdpcapcon2015,wdi_gdpcappppcon2021,wdi_gdppppcon2021,wdi_incsh10h,gd_ptsh,gd_ptsa,wbgi_pve
MMR,104,Myanmar,775,0.57522529,66.506,53756787,Asia,0.772,30.311095757938,69.688904242062,1.8491666666666664,1.8866666666666667,0.5582047685834503,93.5471293315427,5.20476246,0.606,74.5855887889725,70.6572313001093,83.0218230017769,67.84580637,5,NA,NA,NA,1.7333333333333332,NA,0.016,1174.7669794736432,5350.476668999314,287624434643.8656,NA,5,5,-2.2412758
BDI,108,Burundi,516,1.58699203,62.882,13321097,Africa,0.722,22.3202446002597,77.6797553997403,NA,NA,NA,71.4078166079164,8.39522648,0.437,6.30358974118388,4.09906749780603,19.3901970241544,64.00694993,8,NA,NA,NA,3.55,NA,0.08,263.5875500516377,1031.254122431752,13737436196.563244,29.9,4,4,-1.2808952999999998
BLR,112,Belarus,370,4.49853516,74.10336585365854,9228071,Europe,0.411,78.4732787892908,21.5267212107092,NA,NA,NA,99.870002746582,6.65919876,0.824,NA,NA,NA,73.12324771,0,NA,NA,NA,3.4666666666666663,NA,0.037,6206.61909685419,26537.50830816744,244890010830.859,20.7,4,4,-0.6168791
KHM,116,Cambodia,811,1.17248797,70.528,17201724,Asia,0.895,40.374616187368,59.625383812632,NA,NA,NA,71.9300003051758,4.71089554,0.602,83.0101994582912,80.8546913398104,89.4375925874121,68.92399972,6,NA,NA,NA,3.033333333333333,NA,0.062,2011.2743331326217,6458.368148808399,111095066386.193,NA,4,3,-0.0739156
CMR,120,Cameroon,471,0.67123395,62.443,27632771,Africa,0.931,54.8458745688318,45.1541254311682,NA,NA,NA,NA,4.47835922,0.581,37.6210730926342,28.6650672246435,43.9137464458941,61.76934896,6,NA,NA,NA,3.5666666666666664,NA,0.139,1458.661804316926,4843.6503820291655,133843481810.67444,31.1,4,4,-1.6950827
CAN,124,Canada,20,8.0003376,81.24536585365854,38935934,Americas,0.029,82.350089735396807,17.649910264603193,2.604275882427524,2.0852416144604393,0.9476093927089588,NA,11.23432541,0.935,NA,NA,NA,81.58276248,0,NA,NA,4640,NA,8.0375,0.749,45677.686578804045,58321.06118346236,2270784989049.2524,24.1,1,1,0.5074459
CPV,132,Cabo Verde,402,4.28369522,75.907,519741,Africa,0.255,75.033738060849,24.966261939151,NA,NA,NA,88.4700012207031,6.67440224,0.664,60.5788802842241,37.6978923,71.5730652,73.16097765,7,NA,NA,NA,NA,NA,0.656,3997.7676325065327,8850.106691881196,4599763302.145024,NA,NA,NA,0.8359641
CAF,140,Central African Republic (the),482,1.59287274,18.818,5098039,Africa,0.831,43.2751967457285,56.7248032542715,NA,NA,NA,42.439998626709,9.95509052,0.414,22.1764144276758,12.1279355721998,35.4314576485112,52.30772755,6,NA,NA,NA,3.55,NA,0.169,398.9153979564201,1136.801711070446,5795459458.303866,33.1,4,4,-1.9022515
LKA,144,Sri Lanka,780,1.75683677,77.3,22181000,Asia,0.553,19.9877933196367,80.0122066803633,NA,NA,NA,92.4899978637695,4.36269855,0.777,87.6667812141188,86.3220674310032,93.3898404051725,77.22895472,5,NA,NA,2056,6.2,NA,0.436,4033.145614762977,13249.065064601964,293877512197.93616,30.8,3,3,-0.7621199
TCD,148,Chad,483,1.00766718,54.528,18455316,Africa,0.957,25.7635558629694,74.2364441370306,NA,NA,NA,30.6299991607666,4.52549791,0.414,26.2004732829703,23.7025976317782,34.0831639624141,59.08581443,6,NA,NA,NA,2.3666666666666667,NA,0.04,862.6021281725198,2449.4825105248424,45205973768.20929,29.5,3,3,-1.6491593
