ccodealp,ccode,cname,ccodecow,wdi_dgovhexp,wdi_lifexp,wdi_pop,continent,vdem_corr,wdi_popurb,wdi_poprul,wvs_pmi12,wvs_pmi4,wvs_auton,wdi_litrad,wdi_chexppgdp,undp_hdi,wdi_hwf,wdi_hwfr,wdi_hwfu,who_let,ht_colonial,mad_gdppc1600,mad_gdppc1700,mad_gdppc1900,bti_ds,sgi_qd,vdem_libdem,wdi_gdpcapcon2015,wdi_gdpcappppcon2021,wdi_gdppppcon2021,wdi_incsh10h,gd_ptsh,gd_ptsa,wbgi_pve
ZAF,710,South Africa,560,5.40502357,65.454,62378410,Africa,0.448,63.4766699210327,36.5233300789673,NA,NA,NA,90,8.77086639,0.737,44.3696955162125,27.4810392348412,52.5555038230826,61.49918805,5,NA,2715,1494,7,NA,0.605,5786.865053447359,13767.496758993606,858794557506.1743,NA,3,4,-0.6842882
ZWE,716,Zimbabwe,552,1.17876518,62.36,16069056,Africa,0.806,38.7055207169041,61.2944792830959,1.7319502074688795,1.6793388429752063,0.4717607973421927,93.2300033569336,3.62880659,0.594,42.4560955633699,36.1072441049671,55.7054876068581,58.48102238,5,NA,NA,NA,3.95,NA,0.18,1369.1976149557086,5036.761361094887,80936000370.06995,40.5,3,3,-0.8261001
ESP,724,Spain,230,7.20880365,83.13414634146342,47786102,Europe,0.051,79.9548794567814,20.0451205432186,NA,NA,NA,99.6999969482422,9.73828793,0.911,NA,NA,NA,82.66267258,0,1295.0848902653472,1279.9640439795446,2672.390528137885,NA,7.245833333333334,0.785,28203.10934194735,46733.48097805359,2233210888832.3286,24.8,2,2,0.15697619999999998
SSD,728,South Sudan,626,0.58035421,57.203,11021177,Africa,0.805,20.7752121046616,79.22478789533841,NA,NA,NA,NA,6.76125622,0.388,21.8249690400248,18.4313713967888,34.7107438016529,58.57353884,5,NA,NA,NA,2.6166666666666667,NA,0.063,NA,NA,NA,NA,5,5,-1.6425543
SDN,729,Sudan (the),625,NA,NA,NA,Africa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.58515204,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SUR,740,Suriname,115,3.87608457,73.254,623164,Americas,0.205,65.8985443115234,34.101455688476605,NA,NA,NA,NA,5.91760969,0.719,72.1162302072107,66.8383284619406,74.798126380099,69.78412349,1,NA,NA,NA,NA,NA,0.655,7081.333573257831,18742.58737603685,11679705719.60063,30.1,NA,NA,0.2466594
SWZ,748,Eswatini,572,3.24393272,63.028,1218917,Africa,0.555,25.396682918542002,74.603317081458,NA,NA,NA,90.75,7.2226615,0.695,37.1227569943415,33.3795106227371,48.6108203153826,54.59266973,5,NA,NA,NA,3.4,NA,0.095,3695.649571795481,9927.605670081392,12100927320.5586,NA,3,3,-0.400835
SWE,752,Sweden,380,9.02388191,83.05853658536587,10486941,Europe,0.01,88.4038576504809,11.5961423495191,NA,NA,NA,NA,10.49857044,0.959,NA,NA,NA,82.6649092,0,1258,2002,3320,NA,9.291666666666666,0.864,54304.18775010333,63088.42366787344,661604576787.9923,24.7,NA,1,0.9419053
CHE,756,Switzerland,225,4.09193945,83.60487804878049,8777088,Europe,0.019,84.9206266284521,15.079373371547902,NA,NA,NA,NA,11.70653343,0.966,NA,NA,NA,83.32795777,0,NA,NA,6611.778213563051,NA,8.808333333333334,0.851,90605.01942726797,82777.29358207596,726543590171.716,26.6,NA,1,1.0254452
SYR,760,Syrian Arab Republic (the),652,1.40585876,72.79,22462173,Asia,0.917,72.6124992370605,27.387500762939496,NA,NA,NA,94.4199981689453,4.15098715,0.571,84.4161538281563,80.5939610017502,87.3268427242918,72.43803165,6,NA,NA,NA,1.75,NA,0.032,712.2722782000372,4454.853732714638,100065695233.93196,21.1,5,5,-2.4382474999999997
TJK,762,Tajikistan,702,1.78677893,71.562,10182222,Asia,0.847,26.1957126615618,73.8042873384382,1.7291666666666667,1.586666666666667,0.6158690176322418,NA,7.62917423,0.687,72.9535612349756,67.5973108636245,86.7486650931562,71.814877,0,NA,NA,NA,2.816666666666667,NA,0.041,1325.7554529084937,4213.756183626869,42905400915.56154,31.3,4,4,-0.4282098
THA,764,Thailand,800,3.89274025,75.291,71735329,Asia,0.674,59.742374420166,40.257625579834,NA,NA,NA,91.0999984741211,5.35470581,0.792,91.5961635137389,90.2825793483962,92.7662437849262,75.29014364,0,NA,NA,NA,3.8,NA,0.191,6278.785513827604,20762.795259852686,1489425948925.1729,26.5,4,3,-0.5671596
TGO,768,Togo,461,0.66535133,62.29,9089738,Africa,0.732,42.7332327975627,57.2667672024373,NA,NA,NA,72.5999984741211,6.04134083,0.567,17.3383339865729,9.82948957544022,26.9257416035566,63.86461122,6,NA,NA,NA,4.716666666666667,NA,0.225,861.508010803054,2739.688132347113,24903047324.744583,29.6,NA,3,-0.7603953999999999
TON,776,Tonga,955,3.97319055,72.635,105042,Oceania,NA,21.147219451842,78.852780548158,NA,NA,NA,91.0500030517578,8.13607597,0.764,80.9327601370905,79.5588299913849,85.5001502087687,72.72088222,5,NA,NA,NA,NA,NA,NA,4533.967902061057,6810.609706325428,715400064.7718357,22,NA,NA,1.3674794
TTO,780,Trinidad and Tobago,52,2.86555815,73.331,1365805,Americas,0.085,53.9474037904998,46.0525962095002,NA,NA,NA,NA,6.43106365,0.805,84.1181212895414,82.5501070300591,85.4897642097321,71.70712647,5,NA,NA,NA,8.35,NA,0.627,15712.230497272045,30784.11125803557,42045093076.78127,NA,NA,1,0.3498483
ARE,784,United Arab Emirates (the),696,2.76933408,80.487,10074977,Asia,0.116,85.5147347682487,14.4852652317513,NA,NA,NA,98.2900009155273,4.67550945,0.921,NA,NA,NA,78.30645695,5,NA,NA,NA,4.1,NA,0.086,41828.5553298104,70075.63000533715,706010360564.2816,NA,3,3,0.883216
TUN,788,Tunisia,616,3.94321561,76.05,12119334,Africa,0.415,69.707138648303,30.292861351697,1.376889848812095,1.533201189296333,0.16380449141347425,86.25,6.96380186,0.745,91.9415989242068,85.1880700470215,94.8065639714886,74.06842662,6,NA,NA,NA,4.983333333333333,NA,0.195,3986.545583256664,12712.223454530023,154063681928.08316,27,3,3,-0.7395623
TUR,792,Turkey,640,2.78341818,77.591,84979913,Asia,0.847,89.0381164550781,10.961883544921903,NA,NA,NA,97.2600021362305,3.70338893,0.853,NA,NA,NA,75.27238945,0,NA,897,NA,4.233333333333333,2.7875,0.114,14273.574765487305,33520.811138420824,2848595614232.4326,35.2,4,4,-0.9350336
TKM,795,Turkmenistan,701,0.79879308,69.913,7230193,Asia,0.909,47.0592103414926,52.9407896585074,NA,NA,NA,99.9000015258789,5.37103748,0.761,100,100,100,69.12049331,0,NA,NA,NA,2.7,NA,0.032,7551.036501431573,17119.574494614222,123777827673.93828,NA,3,3,0.2106842
TUV,798,Tuvalu,947,13.32408428,66.852,9992,Oceania,NA,63.3065768081154,36.6934231918846,NA,NA,NA,100,18.38210106,0.686,93.9566691879683,96.3164171161089,92.7152313862269,NA,5,NA,NA,NA,NA,NA,NA,4515.297015174917,5498.184554472087,54937860.0682851,NA,NA,NA,1.4735212
UGA,800,Uganda,500,0.977534,67.675,47312719,Africa,0.716,29.9251969709665,70.0748030290335,NA,NA,NA,79.0582329588683,4.39089251,0.578,22.8103172943314,18.6137813493015,34.6562004861087,65.98577935,5,NA,NA,NA,4.533333333333333,NA,0.215,933.0940563704228,2724.9060956840863,128922716406.48828,34.5,3,3,-1.0920608
UKR,804,Ukraine,369,4.27551651,72.658,41048766,Europe,0.595,69.42345912103,30.576540878969997,1.7027864957557093,1.5883603124892276,0.7930948322486885,NA,8.2027483,0.772,95.3362107034396,87.75,98.6,70.90674708,0,NA,NA,NA,7.05,NA,0.234,1874.66296386719,13787.12109375,531796221835.605,21.7,3,2,-1.0507565
MKD,807,North Macedonia,343,4.33453941,74.4248780487805,1831712,Europe,0.722,61.9530566607267,38.0469433392733,NA,1.9143608173142657,NA,NA,7.6204114,0.811,99.6728425385315,99.751105064756,99.618724122724,72.99535604,0,NA,NA,NA,7.75,NA,0.375,6250.627209520625,22822.28880862745,41803860278.228615,22.9,NA,1,0.3218511
EGY,818,Egypt,651,1.78292835,71.01,112618250,Africa,0.713,42.6325129008032,57.3674870991968,NA,NA,NA,79.4565788949049,4.70438385,0.751,90.2649787409993,90.773205979624,89.5903744172535,69.10821615,5,NA,NA,NA,3.4166666666666665,NA,0.129,4029.782954579785,16360.390775036374,1842478578400.74,24.6,3,4,-0.9542974
GBR,826,United Kingdom of Great Britain and Northern Ireland (the),200,9.17955971,81.01121951219511,67604000,Europe,0.053,83.0753982997505,16.924601700249497,2.3255585819745352,1.9864610811757648,0.9349778725139593,NA,11.05087757,0.946,NA,NA,NA,80.10062783,0,1691,2412,7594,NA,7.324999999999999,0.766,48433.00983576701,53139.15125220605,3592419181254.137,24.6,1,1,0.3676912
TZA,834,"Tanzania, the United Republic of",510,0.98245382,66.879,64711821,Africa,0.252,34.8234736377147,65.1765263622853,NA,NA,NA,78.2099990844727,3.1119566,0.554,17.3634047763255,14.8120025929055,21.7674640640375,66.8101483,5,NA,NA,NA,4.9,NA,0.346,1070.58532714844,3546.98095703125,222506089071.1565,NA,2,3,-0.4815853
USA,840,United States of America (the),2,9.10163784,77.43414634146343,334017321,Americas,0.059,80.0324978239707,19.9675021760293,NA,NA,NA,NA,16.49613953,0.93,NA,NA,NA,76.37368104,0,NA,NA,8037.5712,NA,7.379166666666666,0.763,63886.13170698412,72679.25753963484,24276130895657.883,30.4,2,3,-0.1626087
BFA,854,Burkina Faso,439,2.72350121,60.7,22509038,Africa,0.438,27.2791369742712,72.7208630257288,NA,NA,NA,40.9199981689453,6.77182007,0.457,24.6355871719585,19.9663043167516,34.6141155020605,62.29728841,6,NA,NA,NA,3.8833333333333337,NA,0.226,740.3063199302587,2469.199569412594,55579306937.491714,30.2,5,4,-1.8210207
URY,858,Uruguay,165,6.32145834,76.468,3390913,Americas,0.083,95.4977416992188,4.502258300781193,2.48664086004597,2.034113568151842,0.7828148576814914,98.8499984741211,8.94532204,0.852,NA,NA,NA,74.98295244,2,NA,NA,3387,9.95,NA,0.748,18228.355844376107,30804.703277579687,104456068805.08755,30.5,NA,1,1.3035622
UZB,860,Uzbekistan,704,2.50392389,72.147,34938955,Asia,0.826,50.9847412109375,49.0152587890625,2.3593481989708405,1.87929589270746,0.6884615384615385,100,7.36325455,0.737,81.6264651564585,75.13738,87.99571038303,72.18877681,0,NA,NA,NA,3.7,NA,0.08,3576.715527160536,9607.561672734491,335678164943.3952,23.2,3,3,-0.2325524
VEN,862,Venezuela (Bolivarian Republic of),101,2.06511259,72.566,28213017,Americas,0.971,89.2132204732836,10.7867795267164,2.0176470588235293,1.7546218487394958,0.39274447949526814,NA,4.55047369,0.706,NA,NA,NA,71.22082891,2,NA,NA,1846,3.083333333333333,NA,0.056,1379.9777882298624,NA,NA,NA,4,5,-1.1268117
WSM,882,Samoa,990,5.02037048,71.55,215261,Oceania,NA,17.5007949951039,82.4992050048961,NA,NA,NA,97.9899978637695,6.3012085,0.703,71.9643685063712,69.4405424106961,83.7674437684643,70.27372108,5,NA,NA,NA,NA,NA,NA,4095.158682866882,6449.365052637441,1388296770.5957882,NA,NA,NA,1.2343417
YEM,887,Yemen,679,0.30541709,67.952,38222876,Asia,0.916,36.3226310308295,63.6773689691705,NA,NA,NA,NA,6.18666697,0.466,60.6774752801866,52.6639738356721,73.1128352438155,65.76206783,5,NA,NA,NA,1.5666666666666669,NA,0.041,NA,NA,NA,NA,5,5,-2.6124577
ZMB,894,Zambia,551,2.50694346,65.279,20152938,Africa,0.378,44.5988511178469,55.4011488821531,NA,NA,NA,79.9751431296375,5.25592279,0.589,18.1546163519514,9.23328613210251,28.7287723642425,60.96884286,5,NA,NA,NA,6.2,NA,0.439,1298.8480495593024,3585.123790843465,72250777479.19333,39.1,3,2,0.04563259999999999
MHL,NA,Marshall Islands,983,4.41693401,66.725,40077,Oceania,NA,77.9855966195187,22.014403380481298,NA,NA,NA,95.8342549583425,11.73604298,0.732,85.0911570671975,80.2466511,86.44468422,NA,4,NA,NA,NA,NA,NA,NA,5591.464214590039,6936.865109118032,278008742.97812337,27.5,NA,NA,1.2819745
